Keyword,ad_position_average,ad_position_max,ad_position_min,bid,cpc_average,cpc_max,cpc_min,daily_clicks_average,daily_clicks_max,daily_clicks_min,daily_cost_average,daily_cost_max,daily_cost_min,daily_impressions_average,daily_impressions_max,daily_impressions_min,key,language,loc_id,match
obtaining,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,obtaining,en,2124,exact
features,1.35,1.21,1.48,100,2.56,2.81,2.3,0.08,0.09,0.08,0.22,0.24,0.19,1.2,1.33,1.08,features,en,2124,exact
neural,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neural,en,2124,exact
announcing,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,announcing,en,2124,exact
processes,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,processes,en,2124,exact
environments baselines implementation,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,environments baselines implementation,en,2124,exact
eigenvalue,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eigenvalue,en,2124,exact
geodesic distances,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,geodesic distances,en,2124,exact
theory,1.11,1.0,1.22,100,45.03,49.53,40.53,14.4,15.84,12.96,648.61,713.47,583.74,198.22,218.04,178.4,theory,en,2124,exact
projects,1.51,1.36,1.66,100,61.68,67.85,55.51,0.15,0.17,0.14,9.55,10.5,8.59,9.64,10.6,8.68,projects,en,2124,exact
cloud desktop open source,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cloud desktop open source,en,2124,exact
comparable evaluations,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparable evaluations,en,2124,exact
ray,,,,100,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ray,en,2124,exact
